gene	tot_nsample
ACY1	28
ACY1_ENST00000458031	5
ACY3	21
ACYP1	6
ACYP2	3
ACYP2_ENST00000406041	2
ADA	37
ADAD1	89
ADAD2	45
ADAL	20
ADAL_ENST00000428046	21
ADAM10	55
ADAM11	61
ADAM11_ENST00000200557	39
ADAM12	138
ADAM12_ENST00000368676	99
ADAM12_ENST00000368679	130
ADAM15	83
ADAM17	55
ADAM18	136
ADAM19	119
ADAM19_ENST00000257527	88
ADAM2	101
ADAM20	55
ADAM21	83
ADAM21_ENST00000267499	86
ADAM22	94
ADAM22_ENST00000265727	61
ADAM22_ENST00000315984	91
ADAM23	113
ADAM23_ENST00000374416	102
ADAM28	84
ADAM29	242
ADAM30	85
ADAM32	71
ADAM33	61
ADAM33_ENST00000358035	7
ADAM7	123
ADAM8	35
ADAM9	61
ADAMDEC1	9
ADAMDEC1_ENST00000256412	39
ADAMTS1	124
ADAMTS10	114
ADAMTS12	405
ADAMTS12_ENST00000515401	40
ADAMTS13	106
ADAMTS13_ENST00000371911	3
ADAMTS14	145
ADAMTS15	105
ADAMTS16	248
ADAMTS16_ENST00000274181	275
ADAMTS17	126
ADAMTS18	251
ADAMTS19	202
ADAMTS2	185
ADAMTS20	246
ADAMTS20_ENST00000389420	306
ADAMTS3	163
ADAMTS4	90
ADAMTS4_ENST00000367996	70
ADAMTS5	181
ADAMTS6	34
ADAMTS6_ENST00000381055	110
ADAMTS7	135
ADAMTS8	49
ADAMTS8_ENST00000257359	57
ADAMTS8_ENST00000414575	56
ADAMTS9	194
ADAMTSL1	89
ADAMTSL1_ENST00000380548	182
ADAMTSL1_ENST00000380566	9
ADAMTSL2	34
ADAMTSL3	272
ADAMTSL4	95
ADAMTSL5	22
ADAP1	21
ADAP2	31
ADAR	102
ADARB1	42
ADARB1_ENST00000389863	37
ADARB2	91
ADAT1	42
ADAT2	15
ADAT2_ENST00000367593	3
ADAT3	18
ADC	30
ADC_ENST00000398167	5
ADCK1	45
ADCK1_ENST00000238561	36
ADCK2	35
ADCK3	24
ADCK3_ENST00000366779	45
ADCK4	42
ADCK4_ENST00000324464	43
ADCK5	34
ADCY1	171
ADCY10	160
ADCY2	275
ADCY2_ENST00000537121	34
ADCY3	108
ADCY4	85
ADCY5	163
ADCY6	75
ADCY7	87
ADCY8	275
ADCY9	139
ADCYAP1	24
ADCYAP1R1	70
ADD1	51
ADD2	79
ADD2_ENST00000264436	86
ADD2_ENST00000430656	50
ADD3	87
ADGB	82
ADGB_ENST00000367489	9
ADH1A	39
ADH1B	58
ADH4	36
ADH5	22
ADH6	33
ADH6_ENST00000394899	21
ADH7	39
ADH7_ENST00000476959	27
ADHFE1	47
ADHFE1_ENST00000396623	35
ADI1	12
ADIG	7
ADIG_ENST00000537425	7
ADIPOQ	34
ADIPOR1	29
ADIPOR2	29
ADK	27
ADM	16
ADM2	13
ADNP	101
ADNP2	95
ADO	10
ADORA1	61
ADORA2A	38
ADORA2B	19
ADORA3	32
ADORA3_ENST00000369716	39
ADORA3_ENST00000369717	25
ADPGK	19
ADPRH	33
ADPRHL1	29
ADPRHL2	22
ADRA1A	69
ADRA1A_ENST00000354550	70
ADRA1A_ENST00000380573	69
ADRA1A_ENST00000380581	47
ADRA1A_ENST00000380582	63
ADRA1B	37
ADRA1D	36
ADRA2A	37
ADRA2B	61
ADRA2B_ENST00000409345	59
ADRA2C	24
ADRB1	16
ADRB2	38
ADRB3	27
ADRBK1	45
ADRBK2	70
ADRM1	24
ADSL	47
ADSL_ENST00000216194	47
ADSS	47
ADSSL1	34
ADTRP	1
AEBP1	98
AEBP2	1
AEBP2_ENST00000398864	19
AEN	14
AEN_ENST00000379231	3
AES	14
AF165138	1
AFAP1	57
AFAP1_ENST00000420658	35
AFAP1L1	81
AFAP1L2	58
AFAP1L2_ENST00000541919	27
AFF1	3
AFF1_ENST00000395146	90
AFF2	281
AFF2_ENST00000286437	165
AFF2_ENST00000370460	197
AFF3	153
AFF4	119
AFG3L2	62
AFM	87
AFMID	32
AFP	57
AFTPH	67
AFTPH_ENST00000238855	51
AGA	36
AGAP1	94
AGAP10	22
AGAP10_ENST00000413193	22
AGAP2	87
AGAP2_ENST00000547588	65
AGAP3	91
AGAP3_ENST00000473312	36
AGAP4	14
AGAP5	24
AGAP5_ENST00000374094	12
AGAP6	55
AGAP7	33
AGAP8	5
AGBL1	132
AGBL2	69
AGBL3	51
AGBL4	51
AGBL4_ENST00000371838	2
AGBL5	80
AGBL5_ENST00000323064	44
AGC1	187
AGER	14
AGFG1	44
AGFG1_ENST00000409979	27
AGFG2	42
AGGF1	67
AGK	41
AGL	123
AGMAT	25
AGMO	88
AGPAT1	21
AGPAT2	19
AGPAT3	31
AGPAT4	47
AGPAT4_ENST00000366908	2
AGPAT5	30
AGPAT6	35
AGPAT9	35
AGPHD1	21
AGPS	51
AGR2	12
AGR3	18
AGRN	107
AGRP	8
AGT	60
AGTPBP1	106
AGTPBP1_ENST00000357081	6
AGTR1	61
AGTR2	57
AGTRAP	9
AGXT	47
AGXT2	79
AGXT2L1	68
AGXT2L2	25
AGXT2L2_ENST00000308158	26
AHCTF1	178
AHCTF1P	1
AHCY	36
AHCYL1	43
AHCYL2	45
AHCYL2_ENST00000474594	28
AHDC1	93
AHI1	77
AHNAK	508
AHNAK_ENST00000257247	8
AHNAK2	53
AHNAK2_ENST00000333244	655
AHR	88
AHRR	61
AHSA1	22
AHSA2	12
AHSA2_ENST00000430934	13
AHSG	37
AHSP	8
AICDA	36
AIDA	21
AIF1	6
AIF1_ENST00000376051	5
AIF1L	7
AIF1L_ENST00000372309	6
AIFM1	67
AIFM2	30
AIFM3	47
AIG1	19
AIM1	148
AIM1L	40
AIM1L_ENST00000475866	6
AIM1L_ENST00000527815	38
AIM2	67
AIMP1	21
AIMP2	32
AIP	26
AIPL1	33
AIRE	38
AIRE_ENST00000397994	17
AJAP1	65
AK1	14
AK2	13
AK2_ENST00000373449	12
AK3	16
AK4	20
AK5	77
AK7	61
AK8	44
AKAP1	64
AKAP10	46
AKAP11	139
AKAP12	167
AKAP13	218
AKAP13_ENST00000394518	131
AKAP13_ENST00000426424	29
AKAP14	19
AKAP17A	40
AKAP17A_ENST00000381261	6
AKAP2	76
AKAP3	120
AKAP3_ENST00000545990	87
AKAP4	124
AKAP5	19
AKAP6	306
AKAP7	52
AKAP7_ENST00000474850	9
AKAP8	64
AKAP8L	30
AKAP8L_ENST00000397410	36
AKAP9	385
AKAP9_ENST00000356239	364
AKD1	48
AKD1_ENST00000341338	31
AKD1_ENST00000424296	126
AKIP1	8
AKIRIN1	8
AKIRIN2	14
AKNA	122
AKNAD1	79
AKR1A1	21
AKR1B1	33
AKR1B10	41
AKR1B15	38
AKR1B15_ENST00000423958	39
AKR1B15_ENST00000457545	28
AKR1C1	36
AKR1C2	49
AKR1C2_ENST00000455190	19
AKR1C3	22
AKR1C4	52
AKR1CL1	12
AKR1CL1_ENST00000445191	1
AKR1CL1_ENST00000473890	4
AKR1D1	50
AKR1E2	29
AKR7A2	19
AKR7A3	24
AKR7L	11
AKT1	177
AKT1S1	15
AKT2	47
AKT3	64
AKT3_ENST00000336199	47
AKT3_ENST00000366539	47
AKTIP	12
AL078585	1
AL118506	2
AL121675_36	1
AL122001_32	2
AL138764	6
AL161645_14	4
AL359853	2
AL445989	32
AL512274_9	9
AL589988	27
ALAD	16
ALAD_ENST00000409155	14
ALAS1	49
ALAS2	59
ALAS2_ENST00000330807	38
ALAS2_ENST00000396198	42
